"timestamp","open","high","low","close"
"2018-10-09",169.0200,171.5000,164.3100,168.8900
"2018-09-28",164.5100,171.3300,159.0001,168.3300
"2018-08-31",140.5200,165.0700,139.4000,164.0300
"2018-07-31",135.0000,145.2000,133.4200,141.2300
"2018-06-29",128.8400,143.4200,127.2610,135.7000
"2018-05-31",113.8600,129.4100,111.8600,128.6200
"2018-04-30",118.6100,119.1800,102.1500,114.4500
"2018-03-29",114.2400,120.1000,110.3400,118.5500
"2018-02-28",116.2400,119.3000,103.3400,114.2500
"2018-01-31",100.9000,123.9000,99.7100,116.9900
